host,path
76.45.175.151,/item/sports/4642
184.162.105.153,/category/finance
144.30.45.112,/item/electronics/954
68.42.225.106,/category/networking
104.66.194.210,/category/books
64.99.74.69,/item/finance/3775
136.135.51.168,/item/networking/540
52.99.134.55,/item/health/1326
136.51.116.68,/category/finance?from=10
136.141.218.177,/item/computers/959
96.42.33.140,/item/toys/3282
140.225.99.155,/category/electronics
24.183.57.133,/category/electronics
88.72.131.97,/category/software
152.177.137.212,/category/electronics
84.168.133.117,/category/cameras
128.147.132.146,/category/music?from=20
200.60.97.137,/item/toys/3324
64.147.174.209,/item/electronics/4643
144.177.37.150,/item/books/2553
112.69.20.86,/category/software
44.33.187.181,/category/electronics
104.144.48.199,/item/electronics/174
64.153.147.42,/item/books/885
64.81.166.203,/item/software/3781
216.30.183.160,/category/toys
152.174.186.143,/category/computers
192.171.190.89,/category/books
48.27.229.54,/item/electronics/3448
52.72.123.85,/category/music
120.96.35.174,/category/finance
20.210.131.86,/search/?c=Giftcards+Health
36.69.191.163,/category/games
108.84.102.183,/item/games/1500
28.204.229.158,/search/?c=Electronics+Sports
28.132.34.91,/category/giftcards
144.72.47.212,/item/giftcards/4936
100.33.33.175,/category/books
128.132.154.78,/category/sports
168.216.116.73,/item/office/17
176.159.138.106,/category/books
84.60.84.69,/category/networking
180.48.43.122,/item/software/1887
184.72.155.107,/category/software
212.216.77.126,/category/cameras
68.114.32.23,/item/health/1326
112.201.80.150,/item/software/2872
124.96.119.166,/category/books
56.90.115.163,/item/health/4659
188.132.94.224,/item/electronics/2091
164.57.194.128,/category/electronics
172.207.112.61,/category/electronics
60.96.188.58,/category/electronics
176.228.51.42,/category/giftcards
100.27.141.84,/search/?c=Books+Health
48.114.81.75,/category/games
224.201.74.111,/category/books
148.54.128.42,/category/software
80.75.43.52,/item/games/2371
28.132.94.35,/item/electronics/1773
64.147.174.209,/category/sports
40.156.135.110,/category/music
108.51.181.196,/item/software/4556
72.21.82.173,/category/jewelry
36.171.84.59,/category/office
156.120.32.60,/item/office/1964
128.120.46.30,/item/software/4101
52.84.108.35,/item/electronics/600
88.168.68.86,/category/software
52.120.217.35,/category/music
72.66.79.197,/item/finance/4293
112.174.194.137,/search/?c=Computers
136.210.138.34,/search/?c=Electronics
156.195.154.165,/item/games/1856
68.108.188.24,/category/games?from=0
92.216.109.183,/search/?c=Finance
44.27.130.212,/category/software
44.78.79.20,/category/networking?from=0
188.132.94.224,/category/giftcards
136.75.140.114,/category/toys
192.225.229.196,/category/electronics
52.168.76.52,/item/electronics/2132
112.36.225.224,/category/software
200.150.52.174,/search/?c=Games+Giftcards
200.126.112.66,/item/sports/2699
32.213.161.178,/item/games/249
20.72.164.224,/item/software/279
152.132.178.154,/search/?c=Electronics
96.51.158.176,/category/music?from=20
32.129.225.39,/search/?c=Electronics
224.141.203.96,/item/electronics/1239
116.198.217.173,/item/software/4101
212.225.98.37,/category/electronics
176.216.74.66,/category/software
184.177.21.61,/item/electronics/558
52.72.123.85,/category/software
80.45.187.226,/category/electronics
88.96.48.68,/category/electronics
212.171.204.210,/item/health/3691
220.216.43.228,/item/music/4252
180.168.138.72,/category/office
36.33.187.214,/category/finance
20.111.124.133,/category/jewelry
176.219.145.188,/search/?c=Electronics
32.60.103.31,/category/software
136.75.140.114,/search/?c=Jewelry+Toys
32.165.148.219,/category/electronics
148.54.137.151,/category/electronics
112.36.225.224,/item/software/1451
204.189.200.177,/category/sports
44.174.219.122,/category/cameras?from=0
144.72.47.212,/item/software/494
180.48.43.122,/category/software
24.96.198.111,/category/books
192.222.42.130,/category/games
32.222.21.47,/category/electronics
124.66.132.117,/category/garden
112.96.173.162,/category/software
68.195.163.40,/category/toys?from=0
168.177.64.143,/category/books
32.165.148.219,/search/?c=Electronics+Games
176.186.23.213,/category/software
172.198.54.113,/category/books
72.21.82.173,/category/electronics
36.69.191.163,/category/music
68.102.125.199,/item/software/2378
44.81.126.202,/category/giftcards
168.177.64.143,/category/software
204.123.117.64,/category/music
172.159.143.86,/item/software/915
60.216.174.191,/category/books
124.78.193.78,/category/networking?from=20
24.210.87.111,/search/?c=Office
48.180.158.135,/category/books
188.195.57.159,/category/jewelry
176.189.136.36,/category/software
28.51.186.111,/search/?c=Electronics
44.174.219.122,/search/?c=Office+Software
200.72.21.63,/search/?c=Electronics
208.201.162.46,/item/computers/598
